{Acanthoscurria_cioides, Pterocles_rufus} {Bradypodion_grunniens, Nyroca_monedula}
{Bradypodion_grunniens, Oxyura_medici} {Pterocles_rufus, Trapelus_mexicana}
{Bradypodion_grunniens, Phoca_bimaculata} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Bradypodion_grunniens, Phoca_bimaculata} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Bradypodion_grunniens, Phoca_bimaculata} {Holaspis_subcinctus, Pterocles_rufus}
{Bradypodion_grunniens, Phoca_bimaculata} {Holaspis_subcinctus, Trapelus_mexicana}
{Bradypodion_grunniens, Phoca_bimaculata} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Bradypodion_grunniens, Phoca_bimaculata} {Lampropeltis_subglobosa, Pterocles_rufus}
{Bradypodion_grunniens, Phoca_bimaculata} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Bradypodion_grunniens, Phoca_bimaculata} {Nyctixalus_stagnalis, Pterocles_rufus}
{Bradypodion_grunniens, Phoca_bimaculata} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Bradypodion_grunniens, Phoca_bimaculata} {Pterocles_rufus, Trapelus_mexicana}
{Bradypodion_grunniens, Ptyodactylus_valliceps} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Bradypodion_grunniens, Ptyodactylus_valliceps} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Bradypodion_grunniens, Ptyodactylus_valliceps} {Holaspis_subcinctus, Pterocles_rufus}
{Bradypodion_grunniens, Ptyodactylus_valliceps} {Holaspis_subcinctus, Trapelus_mexicana}
{Bradypodion_grunniens, Ptyodactylus_valliceps} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Bradypodion_grunniens, Ptyodactylus_valliceps} {Lampropeltis_subglobosa, Pterocles_rufus}
{Bradypodion_grunniens, Ptyodactylus_valliceps} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Bradypodion_grunniens, Ptyodactylus_valliceps} {Nyctixalus_stagnalis, Pterocles_rufus}
{Bradypodion_grunniens, Ptyodactylus_valliceps} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Bradypodion_grunniens, Ptyodactylus_valliceps} {Pterocles_rufus, Trapelus_mexicana}
{Chlamydotis_nelsonii, Gallinago_leporosum} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Chlamydotis_nelsonii, Gallinago_leporosum} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Chlamydotis_nelsonii, Opheodrys_fimbriatus} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Chlamydotis_nelsonii, Opheodrys_fimbriatus} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Chlamydotis_nelsonii, Opheodrys_fimbriatus} {Lampropeltis_subglobosa, Pterocles_rufus}
{Chlamydotis_nelsonii, Opheodrys_fimbriatus} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Chlamydotis_nelsonii, Ophisops_mysticetus} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Chlamydotis_nelsonii, Ophisops_mysticetus} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Chlamydotis_nelsonii, Ophisops_mysticetus} {Lampropeltis_subglobosa, Pterocles_rufus}
{Chlamydotis_nelsonii, Ophisops_mysticetus} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Chlamydotis_nelsonii, Oxyura_medici} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Chlamydotis_nelsonii, Oxyura_medici} {Lampropeltis_subglobosa, Pterocles_rufus}
{Chlamydotis_nelsonii, Oxyura_medici} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Chlamydotis_nelsonii, Phoca_bimaculata} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Chlamydotis_nelsonii, Phoca_bimaculata} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Chlamydotis_nelsonii, Phoca_bimaculata} {Holaspis_subcinctus, Pterocles_rufus}
{Chlamydotis_nelsonii, Phoca_bimaculata} {Holaspis_subcinctus, Trapelus_mexicana}
{Chlamydotis_nelsonii, Phoca_bimaculata} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Chlamydotis_nelsonii, Phoca_bimaculata} {Lampropeltis_subglobosa, Pterocles_rufus}
{Chlamydotis_nelsonii, Phoca_bimaculata} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Chlamydotis_nelsonii, Phoca_bimaculata} {Nyctixalus_stagnalis, Pterocles_rufus}
{Chlamydotis_nelsonii, Phoca_bimaculata} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Chlamydotis_nelsonii, Phoca_bimaculata} {Pterocles_rufus, Trapelus_mexicana}
{Chlamydotis_nelsonii, Ptyodactylus_valliceps} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Chlamydotis_nelsonii, Ptyodactylus_valliceps} {Lampropeltis_subglobosa, Pterocles_rufus}
{Chlamydotis_nelsonii, Ptyodactylus_valliceps} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Gallinago_leporosum, Opheodrys_fimbriatus} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Gallinago_leporosum, Opheodrys_fimbriatus} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Gallinago_leporosum, Opheodrys_fimbriatus} {Lampropeltis_subglobosa, Pterocles_rufus}
{Gallinago_leporosum, Opheodrys_fimbriatus} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Gallinago_leporosum, Ophisops_mysticetus} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Gallinago_leporosum, Ophisops_mysticetus} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Gallinago_leporosum, Ophisops_mysticetus} {Lampropeltis_subglobosa, Pterocles_rufus}
{Gallinago_leporosum, Ophisops_mysticetus} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Gallinago_leporosum, Oxyura_medici} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Gallinago_leporosum, Oxyura_medici} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Gallinago_leporosum, Oxyura_medici} {Lampropeltis_subglobosa, Pterocles_rufus}
{Gallinago_leporosum, Oxyura_medici} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Gallinago_leporosum, Phoca_bimaculata} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Gallinago_leporosum, Phoca_bimaculata} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Gallinago_leporosum, Phoca_bimaculata} {Holaspis_subcinctus, Pterocles_rufus}
{Gallinago_leporosum, Phoca_bimaculata} {Holaspis_subcinctus, Trapelus_mexicana}
{Gallinago_leporosum, Phoca_bimaculata} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Gallinago_leporosum, Phoca_bimaculata} {Lampropeltis_subglobosa, Pterocles_rufus}
{Gallinago_leporosum, Phoca_bimaculata} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Gallinago_leporosum, Phoca_bimaculata} {Nyctixalus_stagnalis, Pterocles_rufus}
{Gallinago_leporosum, Phoca_bimaculata} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Gallinago_leporosum, Phoca_bimaculata} {Pterocles_rufus, Trapelus_mexicana}
{Gallinago_leporosum, Ptyodactylus_valliceps} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Gallinago_leporosum, Ptyodactylus_valliceps} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Gallinago_leporosum, Ptyodactylus_valliceps} {Lampropeltis_subglobosa, Pterocles_rufus}
{Gallinago_leporosum, Ptyodactylus_valliceps} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Opheodrys_fimbriatus, Ophisops_mysticetus} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Opheodrys_fimbriatus, Ophisops_mysticetus} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Opheodrys_fimbriatus, Ophisops_mysticetus} {Lampropeltis_subglobosa, Pterocles_rufus}
{Opheodrys_fimbriatus, Ophisops_mysticetus} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Opheodrys_fimbriatus, Oxyura_medici} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Opheodrys_fimbriatus, Phoca_bimaculata} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Opheodrys_fimbriatus, Phoca_bimaculata} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Opheodrys_fimbriatus, Phoca_bimaculata} {Holaspis_subcinctus, Pterocles_rufus}
{Opheodrys_fimbriatus, Phoca_bimaculata} {Holaspis_subcinctus, Trapelus_mexicana}
{Opheodrys_fimbriatus, Phoca_bimaculata} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Opheodrys_fimbriatus, Phoca_bimaculata} {Lampropeltis_subglobosa, Pterocles_rufus}
{Opheodrys_fimbriatus, Phoca_bimaculata} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Opheodrys_fimbriatus, Phoca_bimaculata} {Nyctixalus_stagnalis, Pterocles_rufus}
{Opheodrys_fimbriatus, Phoca_bimaculata} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Opheodrys_fimbriatus, Phoca_bimaculata} {Pterocles_rufus, Trapelus_mexicana}
{Opheodrys_fimbriatus, Ptyodactylus_valliceps} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Opheodrys_fimbriatus, Ptyodactylus_valliceps} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Opheodrys_fimbriatus, Ptyodactylus_valliceps} {Lampropeltis_subglobosa, Pterocles_rufus}
{Opheodrys_fimbriatus, Ptyodactylus_valliceps} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Ophisops_mysticetus, Oxyura_medici} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Ophisops_mysticetus, Oxyura_medici} {Lampropeltis_subglobosa, Pterocles_rufus}
{Ophisops_mysticetus, Oxyura_medici} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Ophisops_mysticetus, Phoca_bimaculata} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Ophisops_mysticetus, Phoca_bimaculata} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Ophisops_mysticetus, Phoca_bimaculata} {Holaspis_subcinctus, Pterocles_rufus}
{Ophisops_mysticetus, Phoca_bimaculata} {Holaspis_subcinctus, Trapelus_mexicana}
{Ophisops_mysticetus, Phoca_bimaculata} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Ophisops_mysticetus, Phoca_bimaculata} {Lampropeltis_subglobosa, Pterocles_rufus}
{Ophisops_mysticetus, Phoca_bimaculata} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Ophisops_mysticetus, Phoca_bimaculata} {Nyctixalus_stagnalis, Pterocles_rufus}
{Ophisops_mysticetus, Phoca_bimaculata} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Ophisops_mysticetus, Phoca_bimaculata} {Pterocles_rufus, Trapelus_mexicana}
{Ophisops_mysticetus, Ptyodactylus_valliceps} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Ophisops_mysticetus, Ptyodactylus_valliceps} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Ophisops_mysticetus, Ptyodactylus_valliceps} {Lampropeltis_subglobosa, Pterocles_rufus}
{Ophisops_mysticetus, Ptyodactylus_valliceps} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Oxyura_medici, Phoca_bimaculata} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Oxyura_medici, Phoca_bimaculata} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Oxyura_medici, Phoca_bimaculata} {Holaspis_subcinctus, Pterocles_rufus}
{Oxyura_medici, Phoca_bimaculata} {Holaspis_subcinctus, Trapelus_mexicana}
{Oxyura_medici, Phoca_bimaculata} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Oxyura_medici, Phoca_bimaculata} {Lampropeltis_subglobosa, Pterocles_rufus}
{Oxyura_medici, Phoca_bimaculata} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Oxyura_medici, Phoca_bimaculata} {Nyctixalus_stagnalis, Pterocles_rufus}
{Oxyura_medici, Phoca_bimaculata} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Oxyura_medici, Phoca_bimaculata} {Pterocles_rufus, Trapelus_mexicana}
{Oxyura_medici, Ptyodactylus_valliceps} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Oxyura_medici, Ptyodactylus_valliceps} {Lampropeltis_subglobosa, Pterocles_rufus}
{Oxyura_medici, Ptyodactylus_valliceps} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Phoca_bimaculata, Ptyodactylus_valliceps} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Phoca_bimaculata, Ptyodactylus_valliceps} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Phoca_bimaculata, Ptyodactylus_valliceps} {Holaspis_subcinctus, Pterocles_rufus}
{Phoca_bimaculata, Ptyodactylus_valliceps} {Holaspis_subcinctus, Trapelus_mexicana}
{Phoca_bimaculata, Ptyodactylus_valliceps} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Phoca_bimaculata, Ptyodactylus_valliceps} {Lampropeltis_subglobosa, Pterocles_rufus}
{Phoca_bimaculata, Ptyodactylus_valliceps} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Phoca_bimaculata, Ptyodactylus_valliceps} {Nyctixalus_stagnalis, Pterocles_rufus}
{Phoca_bimaculata, Ptyodactylus_valliceps} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Phoca_bimaculata, Ptyodactylus_valliceps} {Pterocles_rufus, Trapelus_mexicana}
{Ardea_macrops, Bradypodion_grunniens} {Acanthoscurria_cioides, Chlamydotis_nelsonii}
{Ardea_macrops, Bradypodion_grunniens} {Acanthoscurria_cioides, Ethmostigmus_salamandra}
{Ardea_macrops, Bradypodion_grunniens} {Acanthoscurria_cioides, Gallinago_leporosum}
{Ardea_macrops, Bradypodion_grunniens} {Acanthoscurria_cioides, Opheodrys_fimbriatus}
{Ardea_macrops, Bradypodion_grunniens} {Acanthoscurria_cioides, Ophisops_mysticetus}
{Ardea_macrops, Bradypodion_grunniens} {Acanthoscurria_cioides, Oxyura_medici}
{Ardea_macrops, Bradypodion_grunniens} {Acanthoscurria_cioides, Ptyodactylus_valliceps}
{Ardea_macrops, Bradypodion_grunniens} {Chlamydotis_nelsonii, Ethmostigmus_salamandra}
{Ardea_macrops, Bradypodion_grunniens} {Chlamydotis_nelsonii, Gallinago_leporosum}
{Ardea_macrops, Bradypodion_grunniens} {Chlamydotis_nelsonii, Opheodrys_fimbriatus}
{Ardea_macrops, Bradypodion_grunniens} {Chlamydotis_nelsonii, Ophisops_mysticetus}
{Ardea_macrops, Bradypodion_grunniens} {Chlamydotis_nelsonii, Oxyura_medici}
{Ardea_macrops, Bradypodion_grunniens} {Chlamydotis_nelsonii, Ptyodactylus_valliceps}
{Ardea_macrops, Bradypodion_grunniens} {Ethmostigmus_salamandra, Gallinago_leporosum}
{Ardea_macrops, Bradypodion_grunniens} {Ethmostigmus_salamandra, Opheodrys_fimbriatus}
{Ardea_macrops, Bradypodion_grunniens} {Ethmostigmus_salamandra, Ophisops_mysticetus}
{Ardea_macrops, Bradypodion_grunniens} {Ethmostigmus_salamandra, Oxyura_medici}
{Ardea_macrops, Bradypodion_grunniens} {Ethmostigmus_salamandra, Ptyodactylus_valliceps}
{Ardea_macrops, Bradypodion_grunniens} {Gallinago_leporosum, Opheodrys_fimbriatus}
{Ardea_macrops, Bradypodion_grunniens} {Gallinago_leporosum, Ophisops_mysticetus}
{Ardea_macrops, Bradypodion_grunniens} {Gallinago_leporosum, Oxyura_medici}
{Ardea_macrops, Bradypodion_grunniens} {Gallinago_leporosum, Ptyodactylus_valliceps}
{Ardea_macrops, Bradypodion_grunniens} {Opheodrys_fimbriatus, Ophisops_mysticetus}
{Ardea_macrops, Bradypodion_grunniens} {Opheodrys_fimbriatus, Ptyodactylus_valliceps}
{Ardea_macrops, Bradypodion_grunniens} {Ophisops_mysticetus, Oxyura_medici}
{Ardea_macrops, Bradypodion_grunniens} {Ophisops_mysticetus, Ptyodactylus_valliceps}
{Ardea_macrops, Bradypodion_grunniens} {Oxyura_medici, Ptyodactylus_valliceps}
{Ardea_macrops, Holaspis_subcinctus} {Acanthoscurria_cioides, Chlamydotis_nelsonii}
{Ardea_macrops, Holaspis_subcinctus} {Acanthoscurria_cioides, Ethmostigmus_salamandra}
{Ardea_macrops, Holaspis_subcinctus} {Acanthoscurria_cioides, Gallinago_leporosum}
{Ardea_macrops, Holaspis_subcinctus} {Acanthoscurria_cioides, Opheodrys_fimbriatus}
{Ardea_macrops, Holaspis_subcinctus} {Acanthoscurria_cioides, Ophisops_mysticetus}
{Ardea_macrops, Holaspis_subcinctus} {Acanthoscurria_cioides, Oxyura_medici}
{Ardea_macrops, Holaspis_subcinctus} {Acanthoscurria_cioides, Ptyodactylus_valliceps}
{Ardea_macrops, Holaspis_subcinctus} {Chlamydotis_nelsonii, Ethmostigmus_salamandra}
{Ardea_macrops, Holaspis_subcinctus} {Chlamydotis_nelsonii, Gallinago_leporosum}
{Ardea_macrops, Holaspis_subcinctus} {Chlamydotis_nelsonii, Opheodrys_fimbriatus}
{Ardea_macrops, Holaspis_subcinctus} {Chlamydotis_nelsonii, Ophisops_mysticetus}
{Ardea_macrops, Holaspis_subcinctus} {Chlamydotis_nelsonii, Oxyura_medici}
{Ardea_macrops, Holaspis_subcinctus} {Chlamydotis_nelsonii, Ptyodactylus_valliceps}
{Ardea_macrops, Holaspis_subcinctus} {Ethmostigmus_salamandra, Gallinago_leporosum}
{Ardea_macrops, Holaspis_subcinctus} {Ethmostigmus_salamandra, Opheodrys_fimbriatus}
{Ardea_macrops, Holaspis_subcinctus} {Ethmostigmus_salamandra, Ophisops_mysticetus}
{Ardea_macrops, Holaspis_subcinctus} {Ethmostigmus_salamandra, Oxyura_medici}
{Ardea_macrops, Holaspis_subcinctus} {Ethmostigmus_salamandra, Ptyodactylus_valliceps}
{Ardea_macrops, Holaspis_subcinctus} {Gallinago_leporosum, Opheodrys_fimbriatus}
{Ardea_macrops, Holaspis_subcinctus} {Gallinago_leporosum, Ophisops_mysticetus}
{Ardea_macrops, Holaspis_subcinctus} {Gallinago_leporosum, Oxyura_medici}
{Ardea_macrops, Holaspis_subcinctus} {Gallinago_leporosum, Ptyodactylus_valliceps}
{Ardea_macrops, Holaspis_subcinctus} {Opheodrys_fimbriatus, Ophisops_mysticetus}
{Ardea_macrops, Holaspis_subcinctus} {Opheodrys_fimbriatus, Ptyodactylus_valliceps}
{Ardea_macrops, Holaspis_subcinctus} {Ophisops_mysticetus, Oxyura_medici}
{Ardea_macrops, Holaspis_subcinctus} {Ophisops_mysticetus, Ptyodactylus_valliceps}
{Ardea_macrops, Holaspis_subcinctus} {Oxyura_medici, Ptyodactylus_valliceps}
{Ardea_macrops, Nyctixalus_stagnalis} {Acanthoscurria_cioides, Chlamydotis_nelsonii}
{Ardea_macrops, Nyctixalus_stagnalis} {Acanthoscurria_cioides, Ethmostigmus_salamandra}
{Ardea_macrops, Nyctixalus_stagnalis} {Acanthoscurria_cioides, Gallinago_leporosum}
{Ardea_macrops, Nyctixalus_stagnalis} {Acanthoscurria_cioides, Opheodrys_fimbriatus}
{Ardea_macrops, Nyctixalus_stagnalis} {Acanthoscurria_cioides, Ophisops_mysticetus}
{Ardea_macrops, Nyctixalus_stagnalis} {Acanthoscurria_cioides, Oxyura_medici}
{Ardea_macrops, Nyctixalus_stagnalis} {Acanthoscurria_cioides, Ptyodactylus_valliceps}
{Ardea_macrops, Nyctixalus_stagnalis} {Chlamydotis_nelsonii, Gallinago_leporosum}
{Ardea_macrops, Nyctixalus_stagnalis} {Chlamydotis_nelsonii, Opheodrys_fimbriatus}
{Ardea_macrops, Nyctixalus_stagnalis} {Chlamydotis_nelsonii, Ophisops_mysticetus}
{Ardea_macrops, Nyctixalus_stagnalis} {Ethmostigmus_salamandra, Gallinago_leporosum}
{Ardea_macrops, Nyctixalus_stagnalis} {Ethmostigmus_salamandra, Opheodrys_fimbriatus}
{Ardea_macrops, Nyctixalus_stagnalis} {Ethmostigmus_salamandra, Ophisops_mysticetus}
{Ardea_macrops, Nyctixalus_stagnalis} {Gallinago_leporosum, Opheodrys_fimbriatus}
{Ardea_macrops, Nyctixalus_stagnalis} {Gallinago_leporosum, Ophisops_mysticetus}
{Ardea_macrops, Nyctixalus_stagnalis} {Gallinago_leporosum, Oxyura_medici}
{Ardea_macrops, Nyctixalus_stagnalis} {Gallinago_leporosum, Ptyodactylus_valliceps}
{Ardea_macrops, Nyctixalus_stagnalis} {Opheodrys_fimbriatus, Ophisops_mysticetus}
{Ardea_macrops, Nyctixalus_stagnalis} {Opheodrys_fimbriatus, Oxyura_medici}
{Ardea_macrops, Nyctixalus_stagnalis} {Opheodrys_fimbriatus, Ptyodactylus_valliceps}
{Ardea_macrops, Nyctixalus_stagnalis} {Ophisops_mysticetus, Oxyura_medici}
{Ardea_macrops, Nyctixalus_stagnalis} {Ophisops_mysticetus, Ptyodactylus_valliceps}
{Ardea_macrops, Nyroca_monedula} {Acanthoscurria_cioides, Chlamydotis_nelsonii}
{Ardea_macrops, Nyroca_monedula} {Acanthoscurria_cioides, Ethmostigmus_salamandra}
{Ardea_macrops, Nyroca_monedula} {Acanthoscurria_cioides, Gallinago_leporosum}
{Ardea_macrops, Nyroca_monedula} {Acanthoscurria_cioides, Opheodrys_fimbriatus}
{Ardea_macrops, Nyroca_monedula} {Acanthoscurria_cioides, Ophisops_mysticetus}
{Ardea_macrops, Nyroca_monedula} {Acanthoscurria_cioides, Oxyura_medici}
{Ardea_macrops, Nyroca_monedula} {Acanthoscurria_cioides, Ptyodactylus_valliceps}
{Ardea_macrops, Nyroca_monedula} {Chlamydotis_nelsonii, Ethmostigmus_salamandra}
{Ardea_macrops, Nyroca_monedula} {Chlamydotis_nelsonii, Gallinago_leporosum}
{Ardea_macrops, Nyroca_monedula} {Chlamydotis_nelsonii, Opheodrys_fimbriatus}
{Ardea_macrops, Nyroca_monedula} {Chlamydotis_nelsonii, Ophisops_mysticetus}
{Ardea_macrops, Nyroca_monedula} {Chlamydotis_nelsonii, Oxyura_medici}
{Ardea_macrops, Nyroca_monedula} {Chlamydotis_nelsonii, Ptyodactylus_valliceps}
{Ardea_macrops, Nyroca_monedula} {Ethmostigmus_salamandra, Gallinago_leporosum}
{Ardea_macrops, Nyroca_monedula} {Ethmostigmus_salamandra, Opheodrys_fimbriatus}
{Ardea_macrops, Nyroca_monedula} {Ethmostigmus_salamandra, Ophisops_mysticetus}
{Ardea_macrops, Nyroca_monedula} {Ethmostigmus_salamandra, Oxyura_medici}
{Ardea_macrops, Nyroca_monedula} {Ethmostigmus_salamandra, Ptyodactylus_valliceps}
{Ardea_macrops, Nyroca_monedula} {Gallinago_leporosum, Opheodrys_fimbriatus}
{Ardea_macrops, Nyroca_monedula} {Gallinago_leporosum, Ophisops_mysticetus}
{Ardea_macrops, Nyroca_monedula} {Gallinago_leporosum, Oxyura_medici}
{Ardea_macrops, Nyroca_monedula} {Gallinago_leporosum, Ptyodactylus_valliceps}
{Ardea_macrops, Nyroca_monedula} {Opheodrys_fimbriatus, Ophisops_mysticetus}
{Ardea_macrops, Nyroca_monedula} {Opheodrys_fimbriatus, Ptyodactylus_valliceps}
{Ardea_macrops, Nyroca_monedula} {Ophisops_mysticetus, Oxyura_medici}
{Ardea_macrops, Nyroca_monedula} {Ophisops_mysticetus, Ptyodactylus_valliceps}
{Ardea_macrops, Nyroca_monedula} {Oxyura_medici, Ptyodactylus_valliceps}
{Ardea_macrops, Pterocles_rufus} {Acanthoscurria_cioides, Chlamydotis_nelsonii}
{Ardea_macrops, Pterocles_rufus} {Acanthoscurria_cioides, Ethmostigmus_salamandra}
{Ardea_macrops, Pterocles_rufus} {Acanthoscurria_cioides, Gallinago_leporosum}
{Ardea_macrops, Pterocles_rufus} {Acanthoscurria_cioides, Opheodrys_fimbriatus}
{Ardea_macrops, Pterocles_rufus} {Acanthoscurria_cioides, Ophisops_mysticetus}
{Ardea_macrops, Pterocles_rufus} {Acanthoscurria_cioides, Oxyura_medici}
{Ardea_macrops, Pterocles_rufus} {Acanthoscurria_cioides, Ptyodactylus_valliceps}
{Ardea_macrops, Pterocles_rufus} {Chlamydotis_nelsonii, Ethmostigmus_salamandra}
{Ardea_macrops, Pterocles_rufus} {Chlamydotis_nelsonii, Gallinago_leporosum}
{Ardea_macrops, Pterocles_rufus} {Chlamydotis_nelsonii, Opheodrys_fimbriatus}
{Ardea_macrops, Pterocles_rufus} {Chlamydotis_nelsonii, Ophisops_mysticetus}
{Ardea_macrops, Pterocles_rufus} {Chlamydotis_nelsonii, Oxyura_medici}
{Ardea_macrops, Pterocles_rufus} {Chlamydotis_nelsonii, Ptyodactylus_valliceps}
{Ardea_macrops, Pterocles_rufus} {Ethmostigmus_salamandra, Gallinago_leporosum}
{Ardea_macrops, Pterocles_rufus} {Ethmostigmus_salamandra, Opheodrys_fimbriatus}
{Ardea_macrops, Pterocles_rufus} {Ethmostigmus_salamandra, Ophisops_mysticetus}
{Ardea_macrops, Pterocles_rufus} {Ethmostigmus_salamandra, Oxyura_medici}
{Ardea_macrops, Pterocles_rufus} {Ethmostigmus_salamandra, Ptyodactylus_valliceps}
{Ardea_macrops, Pterocles_rufus} {Gallinago_leporosum, Opheodrys_fimbriatus}
{Ardea_macrops, Pterocles_rufus} {Gallinago_leporosum, Ophisops_mysticetus}
{Ardea_macrops, Pterocles_rufus} {Gallinago_leporosum, Oxyura_medici}
{Ardea_macrops, Pterocles_rufus} {Gallinago_leporosum, Ptyodactylus_valliceps}
{Ardea_macrops, Pterocles_rufus} {Opheodrys_fimbriatus, Ophisops_mysticetus}
{Ardea_macrops, Pterocles_rufus} {Opheodrys_fimbriatus, Ptyodactylus_valliceps}
{Ardea_macrops, Pterocles_rufus} {Ophisops_mysticetus, Oxyura_medici}
{Ardea_macrops, Pterocles_rufus} {Ophisops_mysticetus, Ptyodactylus_valliceps}
{Ardea_macrops, Pterocles_rufus} {Oxyura_medici, Ptyodactylus_valliceps}
{Ardea_macrops, Trapelus_mexicana} {Acanthoscurria_cioides, Chlamydotis_nelsonii}
{Ardea_macrops, Trapelus_mexicana} {Acanthoscurria_cioides, Ethmostigmus_salamandra}
{Ardea_macrops, Trapelus_mexicana} {Acanthoscurria_cioides, Gallinago_leporosum}
{Ardea_macrops, Trapelus_mexicana} {Acanthoscurria_cioides, Opheodrys_fimbriatus}
{Ardea_macrops, Trapelus_mexicana} {Acanthoscurria_cioides, Ophisops_mysticetus}
{Ardea_macrops, Trapelus_mexicana} {Acanthoscurria_cioides, Oxyura_medici}
{Ardea_macrops, Trapelus_mexicana} {Acanthoscurria_cioides, Ptyodactylus_valliceps}
{Ardea_macrops, Trapelus_mexicana} {Chlamydotis_nelsonii, Ethmostigmus_salamandra}
{Ardea_macrops, Trapelus_mexicana} {Chlamydotis_nelsonii, Gallinago_leporosum}
{Ardea_macrops, Trapelus_mexicana} {Chlamydotis_nelsonii, Opheodrys_fimbriatus}
{Ardea_macrops, Trapelus_mexicana} {Chlamydotis_nelsonii, Ophisops_mysticetus}
{Ardea_macrops, Trapelus_mexicana} {Chlamydotis_nelsonii, Oxyura_medici}
{Ardea_macrops, Trapelus_mexicana} {Chlamydotis_nelsonii, Ptyodactylus_valliceps}
{Ardea_macrops, Trapelus_mexicana} {Ethmostigmus_salamandra, Gallinago_leporosum}
{Ardea_macrops, Trapelus_mexicana} {Ethmostigmus_salamandra, Opheodrys_fimbriatus}
